,Rank,Movie Title,Gross,Release,Distributor
304,305,"Boonie Bears, to the Rescue!","$39,910,000.00",1/17,
305,306,Brotherhood of Blades II: The Infernal Battlefield,"$39,878,718.00",7/19,
306,307,Point Break (2015),"$39,403,259.00",12/4,Lions Gate
307,308,Rio 2,"$39,400,000.00",4/11,China Film
308,309,Ralph Breaks the Internet,"$39,259,191.00",11/23,Disney
309,310,Ex-Files 2: The Backup Strikes Back,"$38,942,745.00",11/6,
310,311,Chasing the Dragon 2: Wild Wild Bunch,"$38,613,125.00",6/6,
311,312,The White Storm,"$38,500,000.00",11/29,HuaXia
312,313,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,262,712.00",2/19,
313,314,Finding Dory,"$38,052,302.00",6/17,Disney
314,315,Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),"$38,043,199.00",1/7,
315,316,Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),"$38,043,199.00",1/7,
316,317,Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),"$38,043,199.00",1/7,
317,318,Mission Milano (Wang pai dou wang pai),"$37,741,786.00",10/1,
318,319,Fat Buddies,"$37,457,752.00",9/30,
319,320,Transformers,"$37,218,823.00",7/11,China Film
320,321,Till the End of the World,"$36,878,369.00",2/2,
321,322,Women Who Flirt (Sajiao Nvren),"$36,720,000.00",11/28,China Film
322,323,But Always (Yi Sheng Yi Shi),"$36,590,000.00",9/5,
323,324,The Hunger Games: Mockingjay - Part 1,"$36,512,218.00",2/8,China Film
324,325,The Adventurers,"$36,486,465.00",8/11,
325,326,La La Land,"$35,916,658.00",2/14,Joy
326,327,Gods of Egypt,"$35,598,525.00",3/11,
327,328,Namiya,"$35,245,184.00",12/29,
328,329,The Liquidator,"$34,989,022.00",12/22,
329,330,Where Are We Going Dad? 2,"$34,840,000.00",2/19,
330,331,Murder on the Orient Express (2017),"$34,685,958.00",11/10,Fox
331,332,After Earth,"$34,480,000.00",7/12,China Film
332,333,A Quiet Place,"$34,446,117.00",5/18,PPI
333,334,Love and Lost (Shi Gu),"$34,180,000.00",3/20,China Film
334,335,Ji jie hao (Assembly),"$34,089,912.00",12/20,China Film
335,336,Escape Room,"$33,980,703.00",1/18,Sony
336,337,Monsters University,"$33,720,000.00",8/23,HuaXia
337,338,Wa pei (Painted Skin),"$33,467,300.00",9/26,
338,339,The Witness (Wo shi zheng ren),"$33,461,140.00",10/29,
339,340,Chek dou,"$33,180,000.00",4/30,
340,341,Old Boys: The Way of the Dragon,"$32,800,000.00",7/10,HuaXia
341,342,Moana,"$32,797,208.00",11/25,Disney
342,343,Hindi Medium,"$32,712,245.00",4/4,
343,344,Paddington 2,"$32,555,520.00",12/8,
344,345,The House That Never Dies 2,"$32,402,205.00",7/6,
345,346,The Crossing: Part 1,"$32,380,000.00",12/2,
346,347,Hotel Transylvania 3: Summer Vacation,"$32,222,566.00",8/17,Sony
