,Rank,Movie Title,Gross,Release,Distributor
0,1,Wolf Warrior 2,"$854,248,869.00",7/27,
1,2,The Wandering Earth,"$690,994,017.00",2/5,BC
2,3,Avengers: Endgame,"$614,316,021.00",4/24,
3,4,Operation Red Sea,"$575,849,199.00",2/16,
4,5,Detective Chinatown 2,"$541,406,438.00",2/16,
5,6,The Mermaid (2016),"$526,848,189.00",2/8,
6,7,Dying To Survive,"$451,176,639.00",7/5,
7,8,The Fate of the Furious,"$392,807,017.00",4/14,UPI
8,9,Furious 7,"$390,910,000.00",4/12,China Film
9,10,Monster Hunt,"$381,860,000.00",7/16,China Film
10,11,Hello Mr. Billionaire,"$366,961,907.00",7/27,
11,12,Avengers: Infinity War,"$359,543,153.00",5/11,Disney
12,13,Monster Hunt 2,"$356,336,096.00",2/16,
13,14,Never Say Die,"$333,937,573.00",9/30,
14,15,Crazy Alien,"$327,598,891.00",2/5,
15,16,Transformers: Age of Extinction,"$320,000,000.00",6/27,HuaXia
16,17,The Ex-File: The Return of the Exes,"$306,449,457.00",12/29,
17,18,Aquaman,"$298,333,496.00",12/7,WB
18,19,Venom (2018),"$272,243,405.00",11/9,
19,20,Jurassic World: Fallen Kingdom,"$261,224,207.00",6/15,
20,21,Mojin: The Lost Legend,"$255,747,040.00",12/17,
21,22,Pegasus,"$255,510,705.00",2/5,
22,23,Kung Fu Yoga,"$254,531,595.00",1/28,
23,24,Avengers: Age of Ultron,"$240,110,000.00",5/11,
24,25,Journey to the West: The Demons Strike Back,"$239,553,888.00",1/28,
25,26,Zootopia,"$235,591,257.00",3/4,
26,27,Lost in Hong Kong,"$234,431,227.00",9/25,
27,28,Transformers: The Last Knight,"$228,842,508.00",6/23,PPI
28,29,Jurassic World,"$228,740,000.00",6/10,
29,30,Goodbye Mr. Loser,"$226,161,196.00",9/25,
30,31,Youth (2017),"$224,558,496.00",12/15,
31,32,Ready Player One,"$218,471,784.00",3/30,WB
32,33,Warcraft,"$213,541,452.00",6/8,HuaXia
33,34,Us and Them,"$209,221,331.00",4/28,
34,35,The Island (2018),"$197,276,235.00",8/10,
35,36,Journey to the West: Conquering the Demons,"$196,740,000.00",2/10,
36,37,Dangal,"$193,050,870.00",5/5,
37,38,Coco,"$189,226,296.00",11/24,Disney
38,39,Breakup Buddies,"$187,970,000.00",9/30,
39,40,Jian Bing Man,"$186,350,000.00",7/17,HuaXia
40,41,The Monkey King 2 in 3D,"$185,402,420.00",2/8,
41,42,Project Gutenberg,"$183,354,997.00",9/30,
42,43,Mission: Impossible - Fallout,"$181,184,137.00",8/31,
43,44,Captain America: Civil War,"$180,794,517.00",5/6,Disney
44,45,Operation MeKong,"$172,477,764.00",9/30,
45,46,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,277,290.00",5/26,Disney
46,47,From Vegas to Macau 3 (Du cheng feng yun III),"$172,104,369.00",2/8,
47,48,The Great Wall,"$170,962,106.00",12/16,
48,49,Bumblebee,"$170,846,880.00",1/4,
49,50,Kong: Skull Island,"$168,188,002.00",3/24,
50,51,The Monkey King,"$167,840,000.00",1/31,
51,52,xXx: The Return of Xander Cage,"$164,066,583.00",2/10,PPI
52,53,Resident Evil: The Final Chapter,"$159,548,686.00",2/24,Sony
53,54,Despicable Me 3,"$158,171,566.00",7/7,UPI
54,55,Rampage (2018),"$156,381,897.00",4/13,WB
55,56,Kung Fu Panda 3,"$154,304,371.00",1/29,
56,57,The Man from Macau II,"$154,130,000.00",2/19,Bona Light
57,58,Captain Marvel,"$154,070,663.00",3/8,Disney
58,59,The Meg,"$153,033,208.00",8/10,WB
59,60,Monkey King: Hero Is Back,"$153,020,000.00",7/2,
60,61,Duckweed,"$152,405,087.00",1/28,
61,62,The Jungle Book (2016),"$150,140,000.00",4/15,Disney
62,63,Time Raiders,"$145,692,957.00",8/5,HuaXia
63,64,The Taking of Tiger Mountain,"$141,020,000.00",12/23,HuaXia
64,65,More than Blue,"$139,613,557.00",3/14,
65,66,Mr. Six,"$137,268,153.00",12/22,CL
66,67,Mission: Impossible - Rogue Nation,"$135,653,541.00",9/8,
67,68,How Long Will I Love You,"$135,346,907.00",5/18,
68,69,Alita: Battle Angel,"$133,397,094.00",2/22,
69,70,Skiptrace,"$129,014,985.00",7/21,
70,71,Detective Chinatown (Tang ren jie tan an),"$125,112,232.00",12/25,CL
71,72,Star Wars: The Force Awakens,"$124,159,138.00",1/9,
72,73,Ip Man 3,"$124,101,198.00",3/4,
73,74,Godzilla: King of the Monsters,"$123,523,659.00",5/31,
74,75,Interstellar,"$121,990,000.00",11/12,China Film
75,76,The Hobbit: The Battle of the Five Armies,"$121,720,000.00",1/23,China Film
76,77,Ant-Man and the Wasp,"$121,203,074.00",8/24,Disney
77,78,Iron Man 3,"$121,200,000.00",5/1,China Film
78,79,X-Men: Apocalypse,"$120,765,095.00",6/3,Fox
79,80,Forever Young (2018),"$119,035,157.00",1/12,
80,81,I Belonged to You,"$118,084,717.00",9/29,
81,82,Secret Superstar,"$117,703,966.00",1/19,
82,83,A Cool Fish,"$117,404,850.00",11/16,
83,84,Dragon Blade,"$116,790,000.00",2/19,
84,85,X-Men: Days of Future Past,"$116,490,000.00",5/23,HuaXia
85,86,Spider-Man: Homecoming,"$116,280,889.00",9/8,Sony
86,87,Captain America: The Winter Soldier,"$115,620,000.00",4/4,China Film
87,88,Personal Tailor,"$115,520,000.00",12/19,
88,89,P Storm,"$114,996,698.00",4/4,
89,90,The Monkey King 3,"$114,778,320.00",2/16,
90,91,Zhi wo men zhong jiang shi qu de qing chun (So Young),"$114,710,000.00",4/25,China Film
91,92,Finding Mr. Right 2,"$114,130,123.00",4/29,CL
92,93,Terminator: Genisys,"$113,175,898.00",8/23,HuaXia
93,94,Thor: Ragnarok,"$112,226,154.00",11/3,Disney
94,95,War for the Planet of the Apes,"$112,150,301.00",9/15,Fox
95,96,Pacific Rim,"$111,940,000.00",7/31,China Film
96,97,"Dad, Where Are We Going?","$111,870,000.00",1/31,
97,98,Wolf Totem,"$110,460,000.00",2/18,China Film
98,99,Buddies in India,"$109,835,197.00",1/28,
99,100,Doctor Strange,"$109,194,913.00",11/4,Disney
100,101,Dawn of the Planet of the Apes,"$107,355,317.00",8/29,HuaXia
101,102,The Breakup Guru,"$106,590,000.00",6/27,
102,103,Chronicles of the Ghostly Tribe,"$106,380,000.00",9/25,
103,104,Boonie Bears: Blast Into the Past,"$106,344,549.00",2/5,
104,105,Logan,"$106,226,155.00",3/3,Fox
105,106,Justice League,"$106,052,345.00",11/17,WB
106,107,Ant-Man,"$105,370,038.00",10/16,
107,108,Black Panther,"$105,062,459.00",3/9,Disney
108,109,Wukong,"$103,489,838.00",7/13,
109,110,San Andreas,"$103,190,000.00",6/2,
110,111,Cold War 2,"$102,197,265.00",7/8,
111,112,Railroad Tigers,"$101,519,156.00",12/23,
112,113,Guardians of the Galaxy Vol. 2,"$100,663,260.00",5/5,
113,114,The Continent,"$100,110,000.00",7/24,HuaXia
114,115,Pacific Rim Uprising,"$99,488,362.00",3/23,Legend
115,116,Devil and Angel (E Gun Tian Shi),"$98,465,197.00",12/22,CL
116,117,Skyscraper,"$98,444,095.00",7/20,UPI
117,118,Now You See Me 2,"$97,115,220.00",6/24,Leomus
118,119,Boonie Bears: The Big Shrink,"$96,509,976.00",2/16,
119,120,Di Renjie zhi shendu longwang (Young Detective Dee),"$96,400,000.00",9/28,
120,121,Batman v Superman: Dawn of Justice,"$95,769,365.00",3/25,
121,122,Some Like It Hot (2016),"$95,620,411.00",12/30,
122,123,The Martian,"$94,932,731.00",11/25,
123,124,Kill Mobile,"$94,768,221.00",12/28,
124,125,The Amazing Spider-Man 2,"$94,430,000.00",5/4,China Film
125,126,Back in Time (Congcong Nanian),"$93,470,000.00",12/4,
126,127,The New King of Comedy,"$92,796,953.00",2/5,
127,128,Pokemon Detective Pikachu,"$91,833,846.00",5/10,Legend
128,129,The Mummy (2017),"$91,707,392.00",6/9,UPI
129,130,Shadow (2018),"$90,524,286.00",9/30,
130,131,Wonder Woman,"$90,498,909.00",6/2,WB
